TLBSize,Cycles,Hits,Misses,PrimitiveGatesCount
1,660480,2005,4001,464
2,571200,3493,2513,628
3,541140,3994,2012,792
4,528900,4198,1808,956
5,522960,4297,1709,1120
6,511200,4493,1513,1284
7,505860,4582,1424,1448
8,501720,4651,1355,1612
9,501540,4654,1352,1776
10,501180,4660,1346,1940
11,494700,4768,1238,2104
12,496260,4742,1264,2268
13,494160,4777,1229,2432
14,492300,4808,1198,2596
15,496500,4738,1268,2760
16,490020,4846,1160,2924
17,491940,4814,1192,3088
18,491580,4820,1186,3252
19,490140,4844,1162,3416
20,492540,4804,1202,3580
21,489480,4855,1151,3744
22,487440,4889,1117,3908
23,487500,4888,1118,4072
24,488340,4874,1132,4236
25,488940,4864,1142,4400
26,486960,4897,1109,4564
27,487440,4889,1117,4728
28,487620,4886,1120,4892
29,487260,4892,1114,5056
30,489060,4862,1144,5220
31,486180,4910,1096,5384
32,484740,4934,1072,5548
