TLBSize,Cycles,Hits,Misses,PrimitiveGatesCount
1,660480,2005,4001,464
2,568500,3538,2468,628
3,530940,4164,1842,792
4,518340,4374,1632,956
5,497400,4723,1283,1120
6,489300,4858,1148,1284
7,481260,4992,1014,1448
8,476520,5071,935,1612
9,460980,5330,676,1776
10,461040,5329,677,1940
11,453780,5450,556,2104
12,455880,5415,591,2268
13,447960,5547,459,2432
14,442440,5639,367,2596
15,439620,5686,320,2760
16,434100,5778,228,2924
17,421440,5989,17,3088
18,421440,5989,17,3252
19,421440,5989,17,3416
20,421440,5989,17,3580
21,421440,5989,17,3744
22,421440,5989,17,3908
23,421440,5989,17,4072
24,421440,5989,17,4236
25,421440,5989,17,4400
26,421440,5989,17,4564
27,421440,5989,17,4728
28,421440,5989,17,4892
29,421440,5989,17,5056
30,421440,5989,17,5220
31,421440,5989,17,5384
32,421440,5989,17,5548
